time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
6807094545000,7188.564468017578,7.329430103302002,0.6387040019035339,6.043900966644287,6.343999862670898,4.935797691345215,258.6015625,190.4741942665818,-3.1630764,55.8883302
6808094517000,7189.564439941406,5.969181537628174,0.5655639171600342,6.423703193664551,6.204999923706055,5.365521430969238,283.6754455566406,189.3436914084085,-3.1631662,55.8883455
6809094565000,7190.564488037109,5.001282691955566,0.6249837875366211,6.056400299072266,6.241000175476074,6.5252685546875,297.8211975097656,189.41526166552453,-3.163269,55.8883782
6810094693000,7191.564616210938,4.327560424804688,0.5555123090744019,5.989232540130615,6.364999771118164,6.8956618309021,309.8478088378906,188.30683235653183,-3.1633815,55.8884305
6811094595000,7192.564518066406,5.3196234703063965,0.6584193110466003,6.118344306945801,5.48799991607666,6.526360511779785,319.8047180175781,187.73831769461813,-3.1634799,55.8884964
6812094642000,7193.564564941406,6.482032299041748,0.747492790222168,6.115365505218506,5.40500020980835,6.172911167144775,359.1133117675781,188.5928753159328,-3.163539,55.8885595
6813094618000,7194.564541015625,6.612409114837647,0.8425924777984619,5.684101104736328,5.515999794006348,6.79241943359375,23.365724563598636,188.72645462819963,-3.1635256,55.8886266
6814094686000,7195.564608886719,5.113834857940674,0.7647601962089539,5.97416877746582,5.589000225067139,7.599752426147461,39.655704498291016,189.7688906593516,-3.1634678,55.8886887
6815094668000,7196.564591064453,6.051915168762207,0.9983553290367126,6.03855562210083,5.931000232696533,7.933797836303711,49.62032318115234,189.5798453642084,-3.1633763,55.8887458
6816094748000,7197.564670898438,5.277847766876221,0.964978575706482,5.843343734741211,6.52899980545044,8.802889823913574,41.28271484375,188.2176023217463,-3.1632571,55.8888007
6817094680000,7198.564603027344,3.6846301555633545,0.7488251328468323,6.148470878601074,6.984000205993652,9.722634315490724,37.089149475097656,190.3829959284749,-3.1631328,55.888877
6818094770000,7199.564692871094,3.383906841278076,0.7760949730873108,5.925537586212158,7.271999835968018,10.51842975616455,30.151830673217773,185.3660127307,-3.1629927,55.8889727
6819094749000,7200.564671875,2.6137804985046387,0.7089746594429016,5.932511329650879,7.441999912261963,11.931548118591309,26.07692146301269,190.6657607185233,-3.1628551,55.8890895
6820094745000,7201.564668212891,2.030207395553589,0.6728630065917969,5.827078819274902,7.323999881744385,14.15723991394043,21.080236434936523,194.6542862706465,-3.1627159,55.8892265
