time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
0,0.17889599609375,180.0,0.1351136118173599,2.8380773067474365,3.900000095367432,0.1127120926976203,221.97901916503903,188.0,-3.5241629,55.9217184
97104000,0.276,180.0,0.1351136118173599,2.8115570545196533,4.623000144958496,0.1126891076564788,221.96717834472656,188.0,-3.5241626,55.9217183
1000097000,1.178992919921875,35.61126708984375,0.1631705909967422,2.759772539138794,4.623000144958496,0.1308773159980774,222.00341796875,188.0,-3.5241614,55.9217184
2000036000,2.17893212890625,0.0,0.164671704173088,2.797438144683838,4.488999843597412,0.0966501981019973,0.0,188.0,-3.5241597,55.9217189
3000087000,3.17898291015625,0.0,0.295676440000534,2.9231948852539062,4.289999961853027,0.0712551996111869,0.0,188.0,-3.5241581,55.9217199
4000096000,4.178991943359375,0.0,0.1931295692920684,2.8999361991882324,4.241000175476074,0.0866557508707046,0.0,188.0,-3.5241577,55.9217199
5000109000,5.1790048828125,178.44778442382812,0.1838514059782028,2.941328525543213,4.183000087738037,0.1309014707803726,221.8245849609375,189.78976995789932,-3.524157,55.9217197
5143104000,5.322,178.44778442382812,0.1838514059782028,2.6847445964813232,4.380000114440918,0.1308464258909225,221.8133544921875,189.7876894857752,-3.5241569,55.9217196
6000072000,6.1789677734375,0.0,0.1801368445158004,2.6398861408233643,5.423999786376953,0.0967300236225128,0.0,188.0,-3.5241545,55.9217201
6723276500,6.90217236328125,0.0,0.0,2.6398861408233643,5.749000072479248,0.0769852697849273,0.0,188.0,-3.5241649,55.9217207
7244126400,7.4230224609375,0.0,0.0,2.6677017211914062,6.098999977111816,0.0832006707787513,0.0,189.66389997169983,-3.5241742,55.9217217
7764978600,7.94387451171875,0.0,0.0,2.704209804534912,6.3470001220703125,0.074208565056324,0.0,188.0,-3.5241766,55.9217219
8806681000,8.985576904296876,0.0,0.0,2.704209804534912,6.383999824523926,0.071921020746231,0.0,188.0,-3.5241782,55.9217222
9848393700,10.02728955078125,0.0,0.0,2.5292961597442627,7.198999881744385,0.0707621499896049,0.0,188.0,-3.5241797,55.9217222
10892863400,11.071759521484376,0.0,0.0,2.3918306827545166,7.020999908447266,0.0710290819406509,0.0,188.0,-3.5241803,55.9217217
11940491200,12.11938720703125,0.0,0.0,2.386104106903076,6.670000076293945,0.0775851681828498,0.0,188.0,-3.5241753,55.9217208
12982198500,13.161094482421875,0.0,0.0,2.5167055130004883,6.578000068664551,0.103820189833641,219.2856903076172,188.0,-3.5241692,55.92172
14023896500,14.20279248046875,0.0,0.0,2.706634521484375,6.2230000495910645,0.1223833560943603,217.1280059814453,188.0,-3.524164,55.9217194
15065617300,15.244513427734375,0.0,0.0,2.6391611099243164,5.804999828338623,0.1239086240530014,207.4268951416016,188.0,-3.5241601,55.9217188
15586466500,15.765362548828126,0.0,0.0,2.6697497367858887,5.209000110626221,0.1118424460291862,201.7227478027344,188.0,-3.5241567,55.9217185
16107319500,16.286215576171877,0.0,0.0,2.653151273727417,4.815999984741211,0.1067313551902771,202.22750854492188,188.0,-3.524156,55.9217184
16628788000,16.807683837890625,0.0,0.0,2.668544292449951,4.5329999923706055,0.0902819111943245,0.0,188.0,-3.5241549,55.9217181
17682902200,17.861798095703126,0.0,0.0,2.650365114212036,4.341000080108643,0.1138141900300979,199.41070556640625,188.0,-3.524154,55.9217177
18203762000,18.382658203125,0.0,0.0,2.650365114212036,4.270999908447266,0.1318121701478958,194.7659149169922,188.0,-3.5241528,55.9217174
18724612000,18.903508056640625,0.0,0.0,2.6519432067871094,4.164999961853027,0.1455129534006118,197.2032470703125,188.0,-3.524152,55.921717
19766319300,19.94521533203125,0.0,0.0,2.6786460876464844,4.10699987411499,0.1437278091907501,200.4799346923828,188.0,-3.5241509,55.9217161
20287176100,20.466072021484376,0.0,0.0,2.813217639923096,4.019000053405762,0.1302587389945984,197.6341552734375,188.0,-3.5241497,55.9217163
20808031000,20.986927001953124,0.0,0.0,2.8224551677703857,4.0,0.1211872994899749,196.7583923339844,188.0,-3.524149,55.9217161
21858417900,22.03731396484375,0.0,0.0,2.815765857696533,3.953000068664551,0.1071998104453086,190.38043212890625,188.0,-3.5241479,55.9217159
22900128400,23.0790244140625,0.0,0.0,2.927915573120117,3.9600000381469727,0.0929791629314422,0.0,188.0,-3.5241463,55.9217156
23941833400,24.1207294921875,0.0,0.0,2.8680877685546875,3.990000009536743,0.0791974365711212,0.0,188.0,-3.5241444,55.9217156
24983546600,25.162442626953126,0.0,0.0,2.987942695617676,3.984999895095825,0.0808043181896209,0.0,188.0,-3.5241423,55.9217158
26025253800,26.20414990234375,0.0,0.0,3.064436435699463,4.035999774932861,0.0919144600629806,0.0,188.0,-3.5241409,55.9217164
27075645600,27.25454174804688,0.0,0.0,3.1600661277771,4.053999900817871,0.2168374210596084,198.09573364257807,188.0,-3.5241404,55.9217168
28117356000,28.296251953125,0.0,0.0,2.909505844116211,4.125,0.404126763343811,174.45587158203125,188.0,-3.5241391,55.9217165
29159061200,29.337957275390625,0.0,0.0,2.8790299892425537,4.310999870300293,0.6364859938621521,177.49575805664062,191.4875560681891,-3.5241354,55.9217148
30000422000,30.179318115234373,24.801973342895508,0.3064060807228088,2.815668821334839,4.495999813079834,1.0890591144561768,168.33657836914062,192.6056343574384,-3.5241185,55.9217031
30313104000,30.492,24.801973342895508,0.3064060807228088,2.566840648651123,6.677000045776367,1.0892715454101562,168.29910278320312,191.59320846088556,-3.5241166,55.9217001
